Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,1,0,0,0,0,0,0,1,0,1,0,3.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,1,0,0,0,0,0,0,1,0,1,0,3.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,1,0,0,0,0,0,0,0,0,1,2.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,0,0,0,0,0,1,0,0,0,0,0,0,1.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,24,20,33,18,22,22,8,21,12,0,28,32,240.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,11,12,14,10,16,17,12,11,8,13,16,18,158.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,1,1,0,0,0,2,3,3,22,0,2,34.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,1,0,1.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,1,0,1.0
TOTAL DE ESTUPRO (4),0,2,0,1,1,3,2,1,3,3,4,0,20.0
ESTUPRO,0,2,0,1,0,1,1,1,0,1,1,0,8.0
ESTUPRO DE VULNERÁVEL,0,0,0,0,1,2,1,0,3,2,3,0,12.0
TOTAL DE ROUBO - OUTROS (1),70,38,116,105,96,101,100,78,93,106,99,84,1.086
ROUBO - OUTROS,67,35,111,103,94,98,97,75,90,104,94,82,1.05
ROUBO DE VEÍCULO,12,7,10,15,9,12,8,13,18,14,13,13,144.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,3,3,5,2,2,3,3,3,3,2,5,2,36.0
FURTO - OUTROS,123,136,133,127,133,131,153,159,154,138,167,153,1.707
FURTO DE VEÍCULO,22,25,32,17,17,21,27,23,25,39,35,21,304.0
