Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,0,1,1,1,0,1,2,0,1,0,1,8.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,1,1,1,0,1,2,0,1,0,1,8.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,2,1,1,0,0,0,2,0,0,0,7.0
HOMICÍDIO CULPOSO OUTROS,1,0,0,0,0,0,0,0,0,0,0,0,1.0
TENTATIVA DE HOMICÍDIO,0,2,0,1,1,0,0,0,0,0,3,3,10.0
LESÃO CORPORAL DOLOSA,27,27,22,16,23,12,19,14,13,15,12,18,218.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,25,15,17,17,19,18,16,20,15,17,15,5,199.0
LESÃO CORPORAL CULPOSA - OUTRAS,1,0,0,0,1,4,2,0,2,1,0,0,11.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),1,0,0,2,2,1,0,0,0,1,1,1,9.0
TOTAL DE ROUBO - OUTROS (1),78,92,130,123,99,104,117,75,98,123,117,87,1243.0
ROUBO DE VEÍCULO,22,14,25,19,24,22,28,10,37,39,24,14,278.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,9,11,12,12,8,9,15,10,10,12,11,11,130.0
FURTO - OUTROS,83,71,68,70,60,88,100,72,120,92,112,88,1024.0
FURTO DE VEÍCULO,26,30,13,30,23,24,21,18,32,26,20,16,279.0
