Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),1,1,3,0,3,3,2,0,5,1,1,2,22.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,1,1,0,3,3,2,0,3,1,2,2,19.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,2,2,0,6,1,1,0,0,0,12.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,2,0,1,1,2,0,3,4,2,0,3,2,20.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,47,45,35,45,28,46,35,36,47,34,37,39,474.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,24,26,42,25,33,24,28,37,28,36,31,27,361.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LATROCÍNIO,0,0,1,0,0,0,0,0,0,0,0,0,1.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,1,0,0,0,0,0,0,0,0,0,1.0
TOTAL DE ESTUPRO (4),0,0,0,1,0,0,0,0,1,1,2,0,5.0
TOTAL DE ROUBO - OUTROS (1),90,73,117,92,113,86,98,100,93,98,77,64,1101.0
ROUBO DE VEÍCULO,28,32,49,45,38,46,65,42,39,42,35,48,509.0
ROUBO A BANCO,0,0,0,0,0,0,1,0,0,0,0,0,1.0
ROUBO DE CARGA,6,0,9,3,6,3,7,4,6,7,5,7,63.0
FURTO - OUTROS,99,112,134,153,144,115,122,147,135,118,132,121,1532.0
FURTO DE VEÍCULO,43,59,47,69,59,56,58,41,33,44,37,37,583.0
