Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),4,1,2,0,1,1,3,1,2,3,4,2,24.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),4,1,2,0,1,1,3,1,2,3,4,2,24.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,2,1,0,1,0,1,0,1,0,6.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,2,1,5,3,1,0,2,0,1,2,1,5,23.0
LESÃO CORPORAL DOLOSA,54,61,37,47,33,41,44,46,51,32,47,38,531.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,22,32,30,37,23,19,18,24,17,26,21,23,292.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,4,0,0,0,1,0,0,0,1,2,8.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),4,5,4,3,4,2,3,7,4,2,3,2,43.0
TOTAL DE ROUBO - OUTROS (1),79,95,107,84,109,100,103,131,109,97,142,115,1.271
ROUBO DE VEÍCULO,27,31,35,24,29,29,33,35,38,38,51,45,415.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,14,21,10,13,23,16,20,18,22,19,24,27,227.0
FURTO - OUTROS,95,100,85,105,86,94,101,104,116,111,96,89,1.182
FURTO DE VEÍCULO,12,28,31,15,15,17,34,18,38,28,21,45,302.0
