Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),1,0,0,0,1,1,1,2,0,0,2,1,9.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,1,1,1,2,0,0,2,1,8.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,2,1,1,0,0,1,1,3,9.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,1,1,1,1,0,0,1,0,3,0,0,1,9.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,26,30,39,16,26,29,27,38,25,27,18,17,318.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,33,27,41,52,46,34,36,52,34,50,33,38,476.0
LESÃO CORPORAL CULPOSA - OUTRAS,2,4,5,4,5,2,1,3,1,1,0,1,29.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),0,0,0,0,0,1,0,1,1,0,0,0,3.0
TOTAL DE ROUBO - OUTROS (1),219,186,278,274,271,218,190,205,193,234,159,139,2566.0
ROUBO DE VEÍCULO,83,73,83,56,73,49,61,94,70,65,44,32,783.0
ROUBO A BANCO,1,1,2,0,0,1,0,0,2,1,0,2,10.0
ROUBO DE CARGA,0,0,2,0,2,0,2,2,3,2,0,1,14.0
FURTO - OUTROS,206,207,211,260,249,172,223,203,131,228,213,136,2439.0
FURTO DE VEÍCULO,162,113,131,145,134,97,111,111,79,81,82,49,1295.0
