Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),8,3,4,2,3,2,1,1,3,2,7,7,43
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),9,3,4,2,3,3,1,5,4,2,7,8,51
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,2,0,0,0,0,1,1,1,1,0,0,6
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,3,3,4,1,5,1,3,0,2,4,6,2,34
LESÃO CORPORAL DOLOSA,61,98,51,55,44,29,38,43,25,38,37,25,544
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,13,14,8,11,24,22,14,10,10,18,16,14,174
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,0,2,0,0,0,0,2
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),3,3,2,5,5,4,4,2,5,9,7,2,51
TOTAL DE ROUBO - OUTROS (1),25,50,41,37,57,59,46,39,33,33,47,40,507
ROUBO DE VEÍCULO,18,15,24,24,18,20,15,11,9,12,7,11,184
ROUBO A BANCO,0,0,0,0,1,0,0,0,0,0,0,1,2
ROUBO DE CARGA,0,2,1,0,0,1,1,1,0,0,3,0,9
FURTO - OUTROS,113,61,92,76,77,58,82,86,72,72,60,68,917
FURTO DE VEÍCULO,12,9,18,7,11,14,9,9,12,7,8,3,119
