Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),2,4,4,7,6,0,6,3,8,1,4,4,49.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),2,4,4,7,6,0,6,5,11,1,4,4,54.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,2,3,1,0,1,0,3,1,1,0,3,15.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,1,0,0,0,0,0,0,0,1.0
TENTATIVA DE HOMICÍDIO,3,7,4,4,0,4,1,5,7,3,0,1,39.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,47,36,49,16,20,37,27,26,24,25,27,31,365.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,29,25,26,28,22,22,21,33,30,21,14,15,286.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,1,1,0,2,0,1,0,0,1,1,2,9.0
LATROCÍNIO,0,0,0,0,0,0,0,1,0,0,0,0,1.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,1,0,0,0,0,1.0
TOTAL DE ESTUPRO (4),1,1,0,2,1,1,1,1,0,2,0,2,12.0
TOTAL DE ROUBO - OUTROS (1),85,91,99,77,100,89,86,134,129,126,161,146,1323.0
ROUBO DE VEÍCULO,41,54,46,25,48,39,44,64,46,59,64,59,589.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,7,3,8,11,11,3,14,12,5,10,9,16,109.0
FURTO - OUTROS,68,61,60,48,75,64,65,68,47,48,42,53,699.0
FURTO DE VEÍCULO,20,18,18,10,17,16,27,23,18,23,25,21,236.0
