Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),2,1,4,4,1,0,0,2,0,2,1,2,19
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),2,1,4,5,1,0,0,2,0,2,1,2,20
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,1,0,0,0,0,0,0,0,0,1
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,4,2,2,0,3,1,1,0,1,1,0,15
LESÃO CORPORAL DOLOSA,6,29,33,26,23,20,20,22,29,28,24,18,278
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,20,15,11,14,16,11,5,12,16,10,18,10,158
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,1,0,0,0,0,0,0,0,1,2
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),0,2,3,0,2,2,2,0,1,3,2,0,17
TOTAL DE ROUBO - OUTROS (1),89,68,69,65,71,71,63,88,54,102,90,87,917
ROUBO DE VEÍCULO,15,10,18,17,17,31,8,5,12,13,15,23,184
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,5,5,4,3,4,1,4,4,3,3,6,7,49
FURTO - OUTROS,122,78,35,39,50,50,46,59,49,66,49,55,698
FURTO DE VEÍCULO,19,8,7,8,4,13,2,5,14,9,15,12,116
