Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),2,1,2,2,8,2,3,3,2,3,0,4,32.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),2,1,2,2,8,2,3,3,2,3,0,4,32.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,1,0,0,0,0,0,0,0,0,0,1.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,1,0,0,0,0,0,0,0,0,0,1.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,1,2,3,2,1,4,4,0,2,3,2,25.0
HOMICÍDIO CULPOSO OUTROS,1,0,0,0,0,0,0,0,0,1,0,0,2.0
TENTATIVA DE HOMICÍDIO,2,6,3,4,4,3,3,2,2,3,1,7,40.0
LESÃO CORPORAL DOLOSA,35,51,49,76,62,49,47,60,62,50,43,50,634.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,32,20,31,38,32,36,30,18,24,21,22,37,341.0
LESÃO CORPORAL CULPOSA - OUTRAS,2,2,2,1,0,1,0,1,0,0,0,2,11.0
LATROCÍNIO,0,0,0,0,2,0,1,1,0,0,0,0,4.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,2,0,1,1,0,0,0,0,4.0
TOTAL DE ESTUPRO (4),8,4,10,8,5,9,2,8,2,1,4,8,69.0
TOTAL DE ROUBO - OUTROS (1),118,107,96,134,105,119,124,144,109,134,118,145,1.453
ROUBO DE VEÍCULO,57,55,70,62,39,36,43,59,45,41,59,60,626.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,12,16,11,14,11,16,16,38,16,22,21,31,224.0
FURTO - OUTROS,96,106,122,124,99,111,109,138,119,147,113,113,1.397
FURTO DE VEÍCULO,25,20,34,19,32,22,29,34,25,27,30,31,328.0
