Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,1,0,1.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,0,0,0,0,0,0,2,0,0,0,0,0,2.0
LESÃO CORPORAL DOLOSA,0,2,0,0,3,1,1,0,1,1,2,1,12.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,0,1,1,3,3,3,2,0,0,4,3,1,21.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,1,2,0,0,0,0,0,0,0,3.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ROUBO - OUTROS (1),0,3,2,5,8,5,6,5,0,7,8,4,53.0
ROUBO DE VEÍCULO,0,0,0,0,0,1,0,0,0,0,1,0,2.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,0,0,0,0,0,0,0,0,0,0,0,0,0.0
FURTO - OUTROS,0,109,106,127,112,148,125,85,94,81,102,63,1152.0
FURTO DE VEÍCULO,0,8,7,5,2,2,2,4,6,2,1,4,43.0
