Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),2,2,1.0,1.0,1,0,0,1,1,1,0.0,1.0,11.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),2,2,1.0,1.0,1,0,0,2,1,1,0.0,1.0,12.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,0.0,0.0,0,1,0,1,2,2,0.0,1.0,8.0
HOMICÍDIO CULPOSO OUTROS,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
TENTATIVA DE HOMICÍDIO,1,2,2.0,0.0,0,2,2,1,1,3,2.0,0.0,16.0
LESÃO CORPORAL DOLOSA,31,25,21.0,40.0,26,24,42,38,28,31,26.0,40.0,372.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,23,42,41.0,38.0,32,35,41,33,25,32,35.0,41.0,418.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0.0,3.0,1,2,1,1,4,4,0.0,3.0,19.0
LATROCÍNIO,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0
TOTAL DE ESTUPRO (4),1,2,0.0,1.0,2,1,2,0,0,0,1.0,2.0,12.0
TOTAL DE ROUBO - OUTROS (1),219,230,217.0,235.0,222,190,206,224,179,178,182.0,194.0,2.476
ROUBO DE VEÍCULO,9,2,8.0,7.0,8,4,9,9,10,5,8.0,9.0,88.0
ROUBO A BANCO,0,0,0.0,1.0,2,1,1,0,0,0,0.0,0.0,5.0
ROUBO DE CARGA,3,4,1.0,0.0,0,1,2,2,8,0,7.0,7.0,35.0
FURTO - OUTROS,808,700,1.005,1.117,981,877,921,954,846,968,1.051,1.095,11.323
FURTO DE VEÍCULO,14,6,13.0,6.0,11,7,17,15,17,20,15.0,12.0,153.0
