Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),1,0,0,0,0,0,0,1,1,0,0,0,3
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,0,0,0,0,0,0,1,1,0,0,0,3
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,1,0,0,0,0,0,0,0,0,0,1
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,0,0,1,0,1,1,1,2,2,0,0,8
LESÃO CORPORAL DOLOSA,22,40,45,36,41,31,23,20,35,44,26,38,401
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,9,6,18,13,19,18,8,14,18,16,15,6,160
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,1,0,1,0,0,0,0,0,0,0,2
LATROCÍNIO,0,1,0,0,0,0,0,0,0,0,0,0,1
Nº DE VÍTIMAS EM LATROCÍNIO,0,1,0,0,0,0,0,0,0,0,0,0,1
TOTAL DE ESTUPRO (4),6,2,3,1,1,2,3,1,0,1,1,2,23
TOTAL DE ROUBO - OUTROS (1),43,54,57,59,63,60,63,82,54,94,87,95,811
ROUBO DE VEÍCULO,15,18,31,21,23,29,28,28,24,40,32,32,321
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,3,2,5,2,0,1,1,2,4,2,1,2,25
FURTO - OUTROS,89,50,64,58,72,38,68,57,56,64,56,50,722
FURTO DE VEÍCULO,15,8,17,19,12,17,13,15,21,15,16,14,182
