Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,1,0,0,0,0,0,0,0,0,0,0,1.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,1,0,0,0,0,0,0,0,0,0,0,1.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,1,0,1,0,1,0,1,4.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,1,1.0
TENTATIVA DE HOMICÍDIO,0,0,1,0,1,0,0,0,0,0,0,0,2.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,34,14,23,22,22,28,28,30,25,28,17,25,296.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,8,9,4,5,7,6,9,8,6,13,3,12,90.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,1,1,2,2,0,0,0,0,2,1,0,9.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,1,0,0,1.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,1,0,0,1.0
TOTAL DE ESTUPRO (4),0,0,3,5,2,2,11,2,4,1,1,2,33.0
ESTUPRO,0,0,0,0,0,1,2,0,0,0,0,0,3.0
ESTUPRO DE VULNERÁVEL,0,0,3,5,2,1,9,2,4,1,1,2,30.0
TOTAL DE ROUBO - OUTROS (1),116,82,138,105,140,79,88,89,68,103,85,115,1.208
ROUBO - OUTROS,115,82,137,105,138,78,87,89,67,102,82,115,1.197
ROUBO DE VEÍCULO,10,15,12,12,18,13,16,14,17,26,15,22,190.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,1,0,1,0,2,1,1,0,1,1,3,0,11.0
FURTO - OUTROS,103,92,163,174,178,126,130,151,127,141,140,118,1.643
FURTO DE VEÍCULO,38,37,44,32,44,37,40,39,48,46,54,37,496.0
