Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,0,0,1,0,0,0,0,0,0,1,0,2.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,1,0,0,0,0,0,0,2,0,3.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,1,0,1,1,1,0,0,0,1,5.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,1,0,0,0,0,0,0,0,0,0,1,0,2.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,25,41,35,31,37,33,30,36,44,43,28,30,413.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,5,5,9,12,18,15,11,11,10,10,20,14,140.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,2,0,0,0,1,0,0,0,1,2,6.0
LATROCÍNIO,1,0,0,0,0,0,0,0,1,1,0,0,3.0
Nº DE VÍTIMAS EM LATROCÍNIO,1,0,0,0,0,0,0,0,1,1,0,0,3.0
TOTAL DE ESTUPRO (4),1,2,5,1,2,2,0,2,1,2,4,1,23.0
ESTUPRO,1,1,3,0,0,0,0,0,0,0,1,0,6.0
ESTUPRO DE VULNERÁVEL,0,1,2,1,2,2,0,2,1,2,3,1,17.0
TOTAL DE ROUBO - OUTROS (1),118,100,145,103,91,91,102,82,68,87,68,83,1.138
ROUBO - OUTROS,118,99,145,103,91,91,101,81,68,87,68,82,1.134
ROUBO DE VEÍCULO,13,15,13,15,9,10,12,6,13,13,9,13,141.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,0,1,0,0,0,0,1,1,0,0,0,1,4.0
FURTO - OUTROS,71,104,149,126,139,128,130,95,97,121,114,110,1.384
FURTO DE VEÍCULO,42,76,69,72,48,35,36,35,38,44,22,24,541.0
