Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),1,1,1,2,0,2,0,3,5,0,0,1,16.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,1,1,2,0,2,0,3,7,0,0,1,18.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,1,0,0,0,1.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,1,0,0,0,1.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,3,0,0,0,1,0,0,0,1,1,0,6.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,0,0,1,0,2,0,2,2,0,2,1,2,12.0
LESÃO CORPORAL DOLOSA,30,14,30,24,17,16,15,16,20,29,26,19,256.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,25,30,39,34,27,34,23,31,34,61,33,19,390.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LATROCÍNIO,1,1,1,0,0,0,0,0,0,0,0,0,3.0
Nº DE VÍTIMAS EM LATROCÍNIO,1,1,1,0,0,0,0,0,0,0,0,0,3.0
TOTAL DE ESTUPRO (4),2,0,2,1,1,1,2,2,1,1,0,3,16.0
TOTAL DE ROUBO - OUTROS (1),192,171,112,152,201,182,137,121,147,114,84,100,1713.0
ROUBO DE VEÍCULO,28,26,27,20,29,16,24,15,20,27,19,15,266.0
ROUBO A BANCO,0,1,0,0,0,0,0,0,0,0,0,0,1.0
ROUBO DE CARGA,1,0,4,2,3,1,0,0,1,2,3,3,20.0
FURTO - OUTROS,104,124,120,101,130,122,121,95,114,117,101,83,1332.0
FURTO DE VEÍCULO,9,15,16,13,20,16,19,20,19,24,20,17,208.0
