Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,2,0,1,1,0,1,0,0,5.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,2,0,1,1,0,1,0,0,5.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,2,0,0,1,2,0,0,0,0,1,6.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,1,1,0,3,1,2,0,4,1,1,2,1,17.0
LESÃO CORPORAL DOLOSA,25,44,39,42,33,31,34,52,30,45,30,32,437.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,32,45,36,46,72,45,44,58,27,56,59,64,584.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,0,0,0,2,0,0,2.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),1,1,3,0,0,0,1,2,0,2,4,1,15.0
TOTAL DE ROUBO - OUTROS (1),107,136,126,103,124,107,110,140,126,102,130,90,1401.0
ROUBO DE VEÍCULO,45,31,34,30,45,49,59,73,28,57,58,37,546.0
ROUBO A BANCO,1,1,0,0,1,1,0,0,0,1,0,0,5.0
ROUBO DE CARGA,4,0,2,1,3,1,1,1,0,0,0,0,13.0
FURTO - OUTROS,271,458,368,484,563,583,463,383,563,581,785,579,6081.0
FURTO DE VEÍCULO,76,118,104,175,97,121,105,90,97,91,104,56,1234.0
