Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,0.0,1,0,0,0,0,1,0.0,0,1.0,1,4.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0.0,1,0,0,0,0,1,0.0,0,1.0,1,4.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0.0,0,1,0,0,0,0,0.0,0,0.0,0,1.0
HOMICÍDIO CULPOSO OUTROS,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
TENTATIVA DE HOMICÍDIO,1,0.0,1,0,0,0,0,0,0.0,1,0.0,0,3.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
LESÃO CORPORAL DOLOSA,27,35.0,37,34,33,46,32,33,36.0,30,40.0,45,428.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,9,12.0,28,15,22,18,12,24,23.0,23,18.0,27,231.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,3.0,2,1,0,1,0,2,1.0,0,0.0,1,11.0
LATROCÍNIO,0,0.0,0,0,0,0,0,0,0.0,0,1.0,0,1.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0.0,0,0,0,0,0,0,0.0,0,1.0,0,1.0
TOTAL DE ESTUPRO (4),4,4.0,2,3,2,3,4,4,3.0,4,3.0,1,37.0
ESTUPRO,1,2.0,1,1,1,1,3,1,0.0,3,1.0,0,15.0
ESTUPRO DE VULNERÁVEL,3,2.0,1,2,1,2,1,3,3.0,1,2.0,1,22.0
TOTAL DE ROUBO - OUTROS (1),211,285.0,253,284,229,230,201,220,240.0,233,188.0,225,2799.0
ROUBO - OUTROS,211,285.0,252,284,229,229,200,220,238.0,232,188.0,225,2793.0
ROUBO DE VEÍCULO,7,6.0,9,8,3,6,6,5,3.0,2,2.0,4,61.0
ROUBO A BANCO,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
ROUBO DE CARGA,0,0.0,1,0,0,1,1,0,2.0,1,0.0,0,6.0
FURTO - OUTROS,726,1138.0,847,978,872,823,818,897,1022.0,929,1001.0,977,11028.0
FURTO DE VEÍCULO,64,76.0,69,69,71,76,103,97,107.0,99,82.0,57,970.0
