Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),3,8,2,1,5,5,2,0,1,1,5,4,37
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),3,10,2,1,5,5,2,0,1,1,6,4,40
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,1,2,4,1,1,0,0,3,2,0,15
HOMICÍDIO CULPOSO OUTROS,0,1,0,0,0,0,1,0,0,0,0,0,2
TENTATIVA DE HOMICÍDIO,3,0,1,1,1,0,4,1,1,1,1,3,17
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,16,13,14,15,6,18,20,19,16,19,17,13,186
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,33,19,17,4,11,12,15,7,16,17,9,13,173
LESÃO CORPORAL CULPOSA - OUTRAS,1,0,1,4,1,2,2,7,4,0,5,0,27
LATROCÍNIO,0,1,0,0,0,0,0,0,0,0,0,0,1
Nº DE VÍTIMAS EM LATROCÍNIO,0,1,0,0,0,1,0,0,0,0,0,0,2
TOTAL DE ESTUPRO (4),0,0,1,0,0,4,5,3,3,0,1,1,18
TOTAL DE ROUBO - OUTROS (1),54,89,80,85,76,69,72,92,85,86,102,68,958
ROUBO DE VEÍCULO,77,65,69,67,68,44,68,57,65,69,60,50,759
ROUBO A BANCO,0,0,0,1,0,0,0,0,0,0,0,0,1
ROUBO DE CARGA,3,4,2,1,1,0,1,1,5,0,6,5,29
FURTO - OUTROS,95,68,69,70,89,67,84,82,69,96,91,68,948
FURTO DE VEÍCULO,59,50,83,49,58,57,46,41,25,41,50,29,588
