Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),1,0,0,1,0,1,0,1,0,0,0,1,5.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,0,0,1,0,1,0,1,0,0,0,1,5.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,1,1.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,1,1.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,2,3,1,1,0,0,2,1,0,2,1,13.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,0,0,0,2,1,0,0,1,0,0,0,0,4.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,26,24,25,29,25,26,22,25,25,39,33,30,329.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,18,16,15,15,13,20,10,9,19,10,23,16,184.0
LESÃO CORPORAL CULPOSA - OUTRAS,2,0,0,2,2,1,0,0,3,0,0,0,10.0
LATROCÍNIO,0,1,0,0,0,0,0,0,0,0,0,0,1.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,1,0,0,0,0,0,0,0,0,0,0,1.0
TOTAL DE ESTUPRO (4),2,3,2,0,5,2,1,4,2,2,0,2,25.0
ESTUPRO,0,0,2,0,1,1,0,1,1,2,0,0,8.0
ESTUPRO DE VULNERÁVEL,2,3,0,0,4,1,1,3,1,0,0,2,17.0
TOTAL DE ROUBO - OUTROS (1),77,81,94,67,63,56,47,60,65,73,68,65,816.0
ROUBO - OUTROS,68,75,85,63,59,47,44,54,61,64,62,59,741.0
ROUBO DE VEÍCULO,15,15,26,23,27,19,14,37,21,19,23,11,250.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,9,6,9,4,4,9,3,6,4,9,6,6,75.0
FURTO - OUTROS,104,107,110,102,133,128,152,126,137,112,125,118,1454.0
FURTO DE VEÍCULO,58,45,46,53,59,50,56,50,50,51,53,27,598.0
