Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,0,0,0,1,0,0,1,0,2.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,0,0,0,1,0,0,1,0,2.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,1,0,1,1,0,0,0,0,1,4.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,2,0,0,0,0,0,0,0,0,0,0,1,3.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,9,14,23,10,6,12,10,9,10,13,11,22,149.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,10,6,8,5,7,6,5,9,3,10,4,10,83.0
LESÃO CORPORAL CULPOSA - OUTRAS,1,0,1,2,0,1,0,0,1,3,1,3,13.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),0,1,2,1,0,0,0,1,1,3,2,0,11.0
ESTUPRO,0,1,1,0,0,0,0,1,1,2,0,0,6.0
ESTUPRO DE VULNERÁVEL,0,0,1,1,0,0,0,0,0,1,2,0,5.0
TOTAL DE ROUBO - OUTROS (1),52,60,48,58,66,53,36,40,39,68,63,45,628.0
ROUBO - OUTROS,48,57,42,54,62,50,33,38,35,68,61,43,591.0
ROUBO DE VEÍCULO,4,2,5,5,3,4,4,5,3,7,8,4,54.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,4,3,6,4,4,3,3,2,4,0,2,2,37.0
FURTO - OUTROS,129,105,144,131,129,117,129,189,185,154,171,143,1.726
FURTO DE VEÍCULO,34,65,55,46,43,22,29,42,21,37,22,17,433.0
