Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,1,0,0,0,0,0,0,0,1.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,1,0,0,0,0,0,0,0,1.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,1,0,0,1,1,0,0,0,2,3,3,0,11.0
LESÃO CORPORAL DOLOSA,15,13,16,11,9,14,13,24,12,24,21,28,200.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,11,14,10,7,21,34,34,11,7,16,0,16,181.0
LESÃO CORPORAL CULPOSA - OUTRAS,8,0,2,5,10,7,3,8,0,1,3,0,47.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),1,0,0,0,0,0,1,1,0,1,0,0,4.0
TOTAL DE ROUBO - OUTROS (1),43,27,61,54,46,43,34,36,49,38,33,35,499.0
ROUBO DE VEÍCULO,10,8,25,25,20,30,10,19,9,16,15,10,197.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,2,0,0,1,0,0,0,0,0,1,0,0,4.0
FURTO - OUTROS,100,68,102,101,111,107,109,103,123,113,120,112,1.269
FURTO DE VEÍCULO,17,16,34,25,25,13,23,47,28,44,33,12,317.0
