Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),1,0,0,1,0,0,0,0,0,0,0,1,3.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,0,0,1,0,0,0,0,0,0,0,1,3.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,1,1,0,0,0,0,0,0,0,0,2.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,0,0,0,0,2,0,0,0,0,0,0,0,2.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,18,14,25,16,13,10,9,14,11,20,15,11,176.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,5,6,8,4,10,5,6,10,6,4,3,5,72.0
LESÃO CORPORAL CULPOSA - OUTRAS,1,2,1,0,1,1,1,0,0,1,1,0,9.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),0,0,0,0,0,0,1,1,2,1,1,0,6.0
ESTUPRO,0,0,0,0,0,0,1,1,0,0,0,0,2.0
ESTUPRO DE VULNERÁVEL,0,0,0,0,0,0,0,0,2,1,1,0,4.0
TOTAL DE ROUBO - OUTROS (1),44,26,43,59,56,71,57,85,72,72,70,81,736.0
ROUBO - OUTROS,43,25,38,55,52,70,55,85,70,70,68,79,710.0
ROUBO DE VEÍCULO,0,4,2,1,5,3,6,3,6,4,3,3,40.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,1,1,5,4,4,1,2,0,2,2,2,2,26.0
FURTO - OUTROS,149,148,204,210,220,203,233,233,212,223,201,215,2451.0
FURTO DE VEÍCULO,15,21,54,32,28,27,24,32,36,45,50,16,380.0
