Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),1,1,4,1,0,1,1,0,1,0,0,0,10.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,1,4,1,0,1,1,0,1,0,0,0,10.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,0,1,1,0,0,3,0,0,0,0,6.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,1,1,1,1,3,0,0,1,0,1,0,0,9.0
LESÃO CORPORAL DOLOSA,25,40,28,22,29,32,33,35,20,33,34,35,366.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,16,7,20,24,22,20,8,16,19,19,24,25,220.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,2,0,1,2,3,0,0,0,0,1,3,12.0
LATROCÍNIO,0,0,0,0,0,0,0,1,0,0,0,0,1.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,1,0,0,0,0,1.0
TOTAL DE ESTUPRO (4),2,0,2,2,1,2,5,2,0,4,0,6,26.0
TOTAL DE ROUBO - OUTROS (1),113,88,110,119,113,115,100,90,95,110,84,87,1.224
ROUBO DE VEÍCULO,21,19,29,17,14,14,23,18,20,20,22,19,236.0
ROUBO A BANCO,0,0,0,0,1,0,0,0,1,0,1,0,3.0
ROUBO DE CARGA,2,5,2,7,3,1,1,4,4,7,3,2,41.0
FURTO - OUTROS,72,85,97,81,85,61,63,77,70,81,58,87,917.0
FURTO DE VEÍCULO,28,33,38,37,38,35,28,39,25,34,30,15,380.0
