Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),1,0,1,0,1,0,0,0,0,0,1,0,4.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,0,1,0,1,0,0,0,0,0,1,0,4.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,2,0,1,0,0,0,1,0,0,4.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,1,0,0,1,0,0,0,1,1,0,1,0,5.0
LESÃO CORPORAL DOLOSA,34,38,41,33,43,32,39,49,50,44,45,44,492.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,26,24,37,35,41,20,27,32,37,34,24,35,372.0
LESÃO CORPORAL CULPOSA - OUTRAS,2,0,2,1,1,2,2,0,0,0,0,3,13.0
LATROCÍNIO,0,0,0,1,0,0,0,0,0,0,0,0,1.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,1,0,0,0,0,0,0,0,0,1.0
TOTAL DE ESTUPRO (4),2,4,3,2,2,0,0,1,4,1,4,2,25.0
TOTAL DE ROUBO - OUTROS (1),43,58,47,48,51,73,62,64,65,76,46,57,690.0
ROUBO DE VEÍCULO,28,20,24,26,18,24,27,23,24,19,17,25,275.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,1,0,0,4,0,0,0,0,2,1,0,0,8.0
FURTO - OUTROS,130,128,141,106,117,115,108,114,136,112,129,124,1.46
FURTO DE VEÍCULO,59,51,57,86,65,64,82,75,48,55,65,27,734.0
