Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),9,8,3,2,5,4,3,8,4,6,7,4,63.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),9,7,5,3,6,6,4,9,6,8,7,7,77.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,0,2,0,1,0,1,0,0,0,0,5.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,18,5,6,5,4,4,4,3,4,4,3,3,63.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,43,44,53,40,43,45,35,46,60,39,43,45,536.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,0,25,38,31,34,46,29,34,35,38,20,41,371.0
LESÃO CORPORAL CULPOSA - OUTRAS,26,0,1,0,0,0,0,1,0,0,0,0,28.0
LATROCÍNIO,1,0,0,0,0,0,0,0,0,0,0,0,1.0
Nº DE VÍTIMAS EM LATROCÍNIO,2,1,0,0,0,0,0,0,0,0,0,1,4.0
TOTAL DE ESTUPRO (4),1,1,2,0,3,0,1,2,1,3,0,0,14.0
TOTAL DE ROUBO - OUTROS (1),127,89,91,90,96,74,86,84,118,74,82,91,1102.0
ROUBO DE VEÍCULO,110,76,63,73,74,74,77,79,81,79,81,46,913.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,1,6,4,0,0,1,1,4,4,1,5,5,32.0
FURTO - OUTROS,121,103,120,128,128,108,147,129,135,137,148,131,1535.0
FURTO DE VEÍCULO,59,54,70,74,67,66,70,58,87,53,62,31,751.0
