Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),1,0,3,2,1,1,1,0,1,1,1,0,12.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,0,3,2,1,1,1,0,1,1,1,0,12.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,2,1,0,2,1,1,2,1,0,2,0,12.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,1,2,0,3,3,1,3,0,1,1,0,4,19.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,30,34,36,29,33,28,40,45,30,29,35,46,415.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,25,17,22,21,13,22,17,30,22,19,17,20,245.0
LESÃO CORPORAL CULPOSA - OUTRAS,1,8,0,0,0,0,1,0,0,1,0,1,12.0
LATROCÍNIO,0,0,0,1,0,0,0,0,0,1,0,0,2.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,1,0,0,0,0,0,1,0,0,2.0
TOTAL DE ESTUPRO (4),5,8,2,2,1,5,2,9,8,3,6,5,56.0
ESTUPRO DE VULNERÁVEL,0,0,0,0,0,0,0,0,4,2,6,4,16.0
TOTAL DE ROUBO - OUTROS (1),271,244,330,310,249,339,293,298,281,319,335,297,3.566
ROUBO DE VEÍCULO,158,142,162,149,176,184,154,193,162,169,198,197,2.044
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,31,17,29,34,34,46,26,21,36,29,33,47,383.0
FURTO - OUTROS,180,184,190,173,172,174,191,187,198,161,196,215,2.221
FURTO DE VEÍCULO,87,79,88,77,65,95,104,90,81,77,84,86,1.013
