Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),4,2,2,1,1,0,2,0,0,0,2,2,16.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),5,2,2,1,1,0,2,0,0,0,2,2,17.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,1,2,0,0,1,0,0,0,1,2,8.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,5,2,1,0,2,2,2,2,0,1,2,1,20.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,30,41,45,50,37,41,30,43,37,42,39,52,487.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,13,10,12,6,10,20,16,9,8,9,10,11,134.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,1,0,0,0,0,1,0,0,2.0
LATROCÍNIO,1,1,1,0,0,0,0,1,0,0,0,0,4.0
Nº DE VÍTIMAS EM LATROCÍNIO,1,2,1,0,0,0,0,1,0,0,0,0,5.0
TOTAL DE ESTUPRO (4),2,4,4,4,6,9,9,0,4,10,3,5,60.0
ESTUPRO,1,1,0,2,1,5,3,0,1,3,1,1,19.0
ESTUPRO DE VULNERÁVEL,1,3,4,2,5,4,6,0,3,7,2,4,41.0
TOTAL DE ROUBO - OUTROS (1),234,202,220,204,241,169,190,240,201,230,222,199,2.552
ROUBO - OUTROS,218,190,206,192,223,151,177,232,199,225,216,190,2.419
ROUBO DE VEÍCULO,39,28,25,32,31,19,35,34,29,42,32,31,377.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,16,12,14,12,18,18,13,8,2,5,6,9,133.0
FURTO - OUTROS,96,81,105,137,115,100,121,139,119,109,126,105,1.353
FURTO DE VEÍCULO,24,35,39,25,31,44,35,39,30,29,37,27,395.0
