Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,2,0,1,0,0,2,1,0,3,0,2,11
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,2,0,1,0,0,2,1,0,3,0,3,12
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,1,0,0,0,0,0,1,0,2
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,3,2,0,1,1,1,0,1,3,4,0,3,19
LESÃO CORPORAL DOLOSA,16,13,21,21,21,23,13,24,23,18,17,13,223
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,4,7,3,7,6,5,6,5,9,4,2,7,65
LESÃO CORPORAL CULPOSA - OUTRAS,1,1,0,1,0,1,0,1,0,0,0,0,5
LATROCÍNIO,0,1,1,0,0,0,0,0,0,0,0,2,4
Nº DE VÍTIMAS EM LATROCÍNIO,0,1,1,0,0,0,0,0,0,0,0,2,4
TOTAL DE ESTUPRO (4),2,3,5,1,0,0,0,1,3,0,3,1,19
TOTAL DE ROUBO - OUTROS (1),42,79,83,80,101,97,87,80,76,86,68,86,965
ROUBO DE VEÍCULO,31,37,41,29,35,39,27,33,18,29,32,44,395
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,2,0,6,3,4,2,4,2,3,1,6,2,35
FURTO - OUTROS,58,41,37,41,43,49,41,45,40,38,62,44,539
FURTO DE VEÍCULO,13,12,24,15,21,16,10,10,12,14,20,11,178
