Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),2,0,1,1,3,0,1,1,0,1,1,1,12
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,0,1,1,3,0,1,1,0,1,1,1,11
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,1,0,0,0,0,0,0,1,2
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,0,1,0,0,0,0,0,0,2,2,1,6
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,8,14,13,13,16,8,5,9,12,16,9,22,145
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,8,3,11,7,10,9,9,12,13,7,10,9,108
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,0,0,1,0,0,0,1
LATROCÍNIO,0,1,0,0,0,0,0,0,0,0,1,0,2
Nº DE VÍTIMAS EM LATROCÍNIO,0,1,0,0,0,0,0,0,0,0,1,0,2
TOTAL DE ESTUPRO (4),0,0,1,1,0,1,0,0,0,0,0,0,3
TOTAL DE ROUBO - OUTROS (1),52,32,38,43,67,49,56,55,40,68,56,64,620
ROUBO DE VEÍCULO,11,17,11,20,7,16,15,16,14,19,22,9,177
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,2,3,0,2,1,3,3,5,4,4,1,2,30
FURTO - OUTROS,42,35,43,43,45,27,33,37,35,50,30,38,458
FURTO DE VEÍCULO,13,12,11,6,12,15,8,10,14,16,8,21,146
