Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),8,2,3,4,4,11,5,5,2,3,3,3,53.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),9,3,3,4,4,11,5,5,2,3,3,3,55.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,0,0,0,0,1,0,0,0,0,0,2.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,3,1,5,2,2,0,2,1,1,0,1,1,19.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,19,22,14,19,18,27,28,19,29,26,21,26,268.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,9,6,9,5,9,10,4,8,7,14,8,11,100.0
LESÃO CORPORAL CULPOSA - OUTRAS,2,0,3,3,1,0,0,0,0,1,4,0,14.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),1,1,4,0,0,0,0,1,1,0,0,2,10.0
TOTAL DE ROUBO - OUTROS (1),121,110,143,134,123,121,139,129,114,100,111,81,1426.0
ROUBO DE VEÍCULO,112,89,83,88,107,129,112,84,60,87,71,62,1084.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,0,0,0,3,0,2,4,1,1,0,2,3,16.0
FURTO - OUTROS,115,77,82,114,92,88,78,108,75,110,62,103,1104.0
FURTO DE VEÍCULO,53,38,37,59,51,46,41,52,60,56,70,54,617.0
