Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),5,1,0,0,0,0,0,0,0,0,1,0,7.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,1,0,0,0,0,0,0,0,0,1.0
HOMICÍDIO CULPOSO OUTROS,2,2,0,0,0,0,9,12,11,24,5,0,65.0
TENTATIVA DE HOMICÍDIO,3,1,3,2,1,0,2,2,0,0,1,1,16.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,16,26,21,28,21,15,18,19,12,22,16,17,231.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,0,1,0,0,2,0,1,2,1,1,0,0,8.0
LESÃO CORPORAL CULPOSA - OUTRAS,96,98,2,1,3,4,76,72,86,54,33,1,526.0
LATROCÍNIO,0,0,1,0,0,0,0,0,0,0,0,0,1.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),1,0,0,1,0,0,1,0,0,1,1,1,6.0
TOTAL DE ROUBO - OUTROS (1),133,106,88,117,115,112,107,114,101,124,88,105,1310.0
ROUBO DE VEÍCULO,9,64,23,24,24,28,41,16,17,36,38,53,373.0
ROUBO A BANCO,0,0,0,2,2,1,2,1,2,2,3,2,17.0
ROUBO DE CARGA,5,4,1,6,2,0,3,4,4,5,1,3,38.0
FURTO - OUTROS,298,268,257,279,265,218,264,297,176,222,193,193,2930.0
FURTO DE VEÍCULO,0,5,25,42,16,5,23,40,38,10,16,13,233.0
