Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,1,1,1,0,2,1,0,0,2,1,0,9.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,1,2,1,0,2,1,0,0,2,1,0,10.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,1,0,0,0,0,1,0,0,0,2.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,0,0,1,3,0,0,0,1,0,0,2,2,9.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,23,23,52,22,23,22,27,30,21,25,39,32,339.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,8,5,6,7,11,12,10,11,9,9,13,7,108.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,1,1,0,0,0,0,0,1,1,0,0,4.0
LATROCÍNIO,0,0,0,1,0,0,0,0,0,0,0,0,1.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,1,0,0,0,0,0,0,0,0,1.0
TOTAL DE ESTUPRO (4),0,1,2,2,2,2,1,4,3,3,2,2,24.0
ESTUPRO,0,0,0,0,2,0,0,1,1,2,1,0,7.0
ESTUPRO DE VULNERÁVEL,0,1,2,2,0,2,1,3,2,1,1,2,17.0
TOTAL DE ROUBO - OUTROS (1),133,105,125,88,125,115,86,105,81,109,97,107,1.276
ROUBO - OUTROS,130,101,120,86,121,108,83,100,78,108,93,105,1.233
ROUBO DE VEÍCULO,63,33,38,49,50,44,49,47,39,51,50,42,555.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,3,4,5,2,4,7,3,5,3,1,4,2,43.0
FURTO - OUTROS,103,67,101,83,90,97,73,80,73,92,89,83,1.031
FURTO DE VEÍCULO,42,45,51,51,46,41,43,34,39,42,45,32,511.0
