Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,1,1,0,1,1,0,2,0,0,0,1,7.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,1,1,0,1,1,0,2,0,0,0,1,7.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,2,0,0,0,0,1,0,1,0,0,0,0,4.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,1,0,0,0,0,0,1.0
TENTATIVA DE HOMICÍDIO,0,0,2,0,0,0,0,0,0,0,0,0,2.0
LESÃO CORPORAL DOLOSA,6,8,18,15,1,0,5,2,0,10,8,4,77.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,6,10,4,11,16,9,13,15,8,11,16,11,130.0
LESÃO CORPORAL CULPOSA - OUTRAS,4,0,0,2,16,16,6,13,17,2,4,6,86.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),0,2,0,2,2,0,1,2,0,1,2,0,12.0
TOTAL DE ROUBO - OUTROS (1),58,48,58,60,80,90,90,85,93,53,70,64,849.0
ROUBO DE VEÍCULO,11,17,17,27,44,23,39,24,16,19,19,26,282.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,6,3,4,5,2,3,2,1,4,3,8,3,44.0
FURTO - OUTROS,65,65,96,64,101,101,91,120,103,71,92,84,1053.0
FURTO DE VEÍCULO,32,18,30,39,37,35,37,33,24,30,34,33,382.0
