Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,0,0,1,0,1,0,0,2,2,1,0,7.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,1,0,1,0,0,2,2,1,0,7.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,1,3,0,0,0,1,0,1,0,0,7.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,0,0,0,0,0,0,0,0,0,0,0,2,2.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,20,19,19,18,22,17,27,13,20,22,30,27,254.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,13,11,15,11,15,11,5,8,5,14,9,11,128.0
LESÃO CORPORAL CULPOSA - OUTRAS,2,0,0,1,0,1,0,2,0,1,0,0,7.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),5,3,4,2,5,4,3,3,2,5,4,3,43.0
ESTUPRO,3,2,1,1,2,2,0,1,1,1,1,1,16.0
ESTUPRO DE VULNERÁVEL,2,1,3,1,3,2,3,2,1,4,3,2,27.0
TOTAL DE ROUBO - OUTROS (1),118,115,153,161,145,127,133,131,156,175,156,151,1.721
ROUBO - OUTROS,113,111,147,157,142,125,130,125,147,172,151,148,1.668
ROUBO DE VEÍCULO,41,54,60,61,56,46,51,45,59,57,54,65,649.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,5,4,6,4,3,2,3,6,9,3,5,3,53.0
FURTO - OUTROS,74,57,73,70,75,85,94,100,53,85,76,70,912.0
FURTO DE VEÍCULO,28,17,27,33,33,23,32,26,33,35,35,19,341.0
