Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,1,0,0,1,0,0,0,0,2,0,1,5.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,1,0,0,1,0,0,0,0,2,0,1,5.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,1,0,0,1,1,1,2,1,0,1,9.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,1,2,1,0,1,0,0,0,1,0,0,0,6.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,39,32,38,26,33,39,30,36,31,48,40,39,431.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,18,18,12,14,19,19,13,9,16,17,9,2,166.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,2,0,1,0,1,2,1,1,1,1,0,10.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),4,4,1,6,5,5,1,5,1,5,4,4,45.0
ESTUPRO,2,2,0,3,0,1,0,4,1,2,2,2,19.0
ESTUPRO DE VULNERÁVEL,2,2,1,3,5,4,1,1,0,3,2,2,26.0
TOTAL DE ROUBO - OUTROS (1),119,103,96,135,115,107,136,112,117,114,108,73,1335.0
ROUBO - OUTROS,116,102,94,125,112,107,134,110,114,111,106,72,1303.0
ROUBO DE VEÍCULO,17,21,26,33,29,36,17,20,23,13,24,18,277.0
ROUBO A BANCO,0,0,0,0,1,0,0,1,0,0,0,0,2.0
ROUBO DE CARGA,3,1,2,10,2,0,2,1,3,3,2,1,30.0
FURTO - OUTROS,115,109,154,105,121,117,179,150,132,82,110,119,1493.0
FURTO DE VEÍCULO,86,47,52,47,49,58,54,63,60,72,78,47,713.0
