Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,1,0,0,0,1,1,0,1,0,0,4.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,0,0,0,1,0,1,0,0,0,0,0,0,2.0
LESÃO CORPORAL DOLOSA,14,18,19,18,21,15,16,18,29,21,21,14,224.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,22,36,37,38,36,23,35,39,40,27,30,27,390.0
LESÃO CORPORAL CULPOSA - OUTRAS,1,1,0,0,0,0,0,0,0,0,0,1,3.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),1,0,1,0,0,0,0,0,0,0,0,1,3.0
TOTAL DE ROUBO - OUTROS (1),84,106,121,127,103,108,107,101,128,104,114,112,1315.0
ROUBO DE VEÍCULO,47,64,65,48,37,50,29,41,40,47,42,56,566.0
ROUBO A BANCO,1,0,0,0,0,0,0,0,0,0,0,0,1.0
ROUBO DE CARGA,0,1,3,0,2,0,0,0,0,1,1,1,9.0
FURTO - OUTROS,153,92,106,132,119,110,102,155,107,117,109,111,1413.0
FURTO DE VEÍCULO,56,56,52,55,66,42,68,51,63,60,60,32,661.0
