Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,0,2,2,2,0,0,0,2,2,2,0,12.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,2,1,2,0,1,0,2,2,2,0,12.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,0,0,0,3,1,0,0,2,2,1,10.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,1,0,1,1,0,0,1,1,0,0,0,0,5.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,26,21,13,23,14,19,16,15,8,15,18,15,203.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,16,20,23,18,21,28,18,19,16,26,26,23,254.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,4,1,1,0,0,0,0,2,0,0,8.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),0,1,0,0,0,0,0,2,0,0,0,0,3.0
TOTAL DE ROUBO - OUTROS (1),108,95,94,117,124,113,127,115,128,126,104,103,1.354
ROUBO DE VEÍCULO,30,40,41,38,36,39,38,35,36,33,29,37,432.0
ROUBO A BANCO,0,1,3,0,0,0,0,1,0,1,0,0,6.0
ROUBO DE CARGA,0,0,1,0,1,2,2,6,3,1,1,1,18.0
FURTO - OUTROS,104,97,91,109,129,106,111,101,106,102,115,107,1.278
FURTO DE VEÍCULO,36,41,29,32,29,30,32,19,43,33,25,35,384.0
