Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),4,3,1,1,3,4,5,1,0,1,1,1,25
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),5,3,1,1,3,5,5,2,0,1,1,1,28
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,0,1,1,0,1,0,0,1,1,0,6
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,3,3,0,1,3,1,1,1,0,0,2,15
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,19,17,18,17,18,15,17,22,18,22,24,16,223
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,12,17,16,19,24,8,19,17,20,17,23,16,208
LESÃO CORPORAL CULPOSA - OUTRAS,0,1,3,0,1,3,1,0,0,1,0,1,11
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),0,1,0,2,0,2,0,1,2,0,0,1,9
TOTAL DE ROUBO - OUTROS (1),75,80,76,84,99,83,79,89,97,84,71,69,986
ROUBO DE VEÍCULO,33,41,20,19,24,35,21,31,28,40,14,20,326
ROUBO A BANCO,0,0,0,0,1,1,0,0,0,0,0,0,2
ROUBO DE CARGA,0,2,0,0,1,1,0,2,0,1,0,1,8
FURTO - OUTROS,70,68,82,62,78,74,84,69,82,74,89,77,909
FURTO DE VEÍCULO,40,26,34,59,45,41,30,40,41,43,42,31,472
