Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,1,1,0,0,0,0,1,0,1,2,2,8.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,1,1,0,0,0,0,1,0,1,2,2,8.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,1,1,0,0,1,0,1,1,1,0,0,7.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,1,0,0,0,0,0,0,0,0,1.0
TENTATIVA DE HOMICÍDIO,1,0,0,0,1,2,1,2,0,0,0,0,7.0
LESÃO CORPORAL DOLOSA,23,11,28,24,38,12,19,46,35,51,38,48,373.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,15,24,22,30,34,39,20,23,28,21,18,24,298.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,1,0,2,0,0,0,0,0,0,0,3.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),0,3,1,1,2,1,2,3,1,0,0,1,15.0
TOTAL DE ROUBO - OUTROS (1),151,136,184,143,124,116,212,134,155,141,180,193,1.869
ROUBO - OUTROS,...,...,...,...,...,...,...,...,...,...,...,...,168.0
ROUBO DE VEÍCULO,6,15,7,18,9,12,13,4,11,17,7,14,133.0
ROUBO A BANCO,0,0,0,0,0,0,0,1,0,0,0,0,1.0
ROUBO DE CARGA,24,18,26,14,14,11,12,5,14,10,12,7,167.0
FURTO - OUTROS,406,339,528,534,621,361,678,358,397,592,554,955,6.323
FURTO DE VEÍCULO,25,27,21,26,25,23,33,23,22,29,28,31,313.0
