Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),2,1,0,1,0,0,1,2,0,2,0,4,13.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),2,1,0,1,0,0,1,2,0,2,0,4,13.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,1,0,0,0,0,0,2,0,2,1,7.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,2,0,4,3,0,1,0,1,1,0,1,1,14.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,23,29,28,19,18,18,18,15,17,17,25,20,247.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,23,31,37,39,28,45,32,32,35,32,29,36,399.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,2,0,0,0,0,1,2,0,0,0,1,6.0
LATROCÍNIO,0,0,1,1,0,0,0,0,0,0,0,0,2.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,1,1,0,0,0,0,0,0,0,0,2.0
TOTAL DE ESTUPRO (4),0,0,1,3,3,0,0,0,0,0,0,0,7.0
TOTAL DE ROUBO - OUTROS (1),131,101,128,122,120,139,121,126,114,104,117,109,1.432
ROUBO DE VEÍCULO,12,15,20,21,27,23,27,10,9,7,7,3,181.0
ROUBO A BANCO,0,0,0,0,0,0,1,1,0,0,1,0,3.0
ROUBO DE CARGA,10,9,13,9,11,10,13,12,9,9,11,10,126.0
FURTO - OUTROS,358,189,325,364,388,567,414,321,366,298,362,618,4.57
FURTO DE VEÍCULO,17,18,22,21,24,36,23,21,14,13,9,11,229.0
