Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),2,0,1,2,0,2,2,3,3,1,1,0,17.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),2,0,1,3,0,2,2,3,3,1,1,0,18.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,0,0,0,0,0,0,0,0,0,0,1.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,1,1,0,1,1,0,2,1,0,1,2,1,11.0
LESÃO CORPORAL DOLOSA,37,29,33,29,15,23,20,15,10,17,13,22,263.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,18,29,41,26,25,12,12,18,16,21,12,22,252.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,1,0,0,0,0,0,2,1,0,4.0
LATROCÍNIO,2,0,0,0,0,0,0,0,0,0,0,0,2.0
Nº DE VÍTIMAS EM LATROCÍNIO,2,0,0,0,0,0,0,0,0,0,0,0,2.0
TOTAL DE ESTUPRO (4),0,3,1,0,0,0,0,0,1,0,0,1,6.0
TOTAL DE ROUBO - OUTROS (1),76,64,80,64,65,85,83,72,56,75,63,105,888.0
ROUBO DE VEÍCULO,30,34,53,40,28,35,38,39,28,12,26,56,419.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,2,3,4,0,1,1,0,2,0,2,0,2,17.0
FURTO - OUTROS,135,100,114,109,80,123,101,117,112,126,87,115,1319.0
FURTO DE VEÍCULO,30,45,27,40,28,41,33,34,25,35,32,17,387.0
