Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),1,1,0,2,5,1,2,1,0,3,1,0,17
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,1,1,2,5,1,2,1,1,3,2,0,20
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,3,0,0,0,0,0,0,1,0,1,1,2,8
HOMICÍDIO CULPOSO OUTROS,1,0,0,0,0,0,0,0,0,0,0,1,2
TENTATIVA DE HOMICÍDIO,3,0,3,1,2,2,1,2,2,1,2,0,19
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,43,34,35,40,28,25,23,32,24,25,31,25,365
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,5,9,8,17,16,13,12,24,10,3,15,13,145
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,0,0,0,0,0,0,0
LATROCÍNIO,0,0,1,0,0,0,0,0,0,0,0,0,1
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),1,0,1,2,1,3,4,0,3,0,1,0,16
TOTAL DE ROUBO - OUTROS (1),43,39,71,47,44,54,47,52,55,56,45,54,607
ROUBO DE VEÍCULO,12,8,20,21,13,25,19,13,24,25,21,17,218
ROUBO A BANCO,0,0,0,0,0,0,0,1,0,0,0,1,2
ROUBO DE CARGA,1,0,0,0,0,0,0,0,0,1,1,4,7
FURTO - OUTROS,73,65,89,73,66,66,87,82,76,91,82,102,952
FURTO DE VEÍCULO,23,23,24,22,16,27,43,27,19,39,31,22,316
