Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),16,7,13,10,7,2,3,3,6,8,4,8,87
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),19,9,12,10,10,2,2,3,6,9,4,8,94
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,0,1,0,0,0,0,0,0,0,1,3
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,1,0,0,1
TENTATIVA DE HOMICÍDIO,6,5,5,7,0,5,4,4,4,9,6,3,58
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,18,25,31,17,29,28,22,28,35,26,22,34,315
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,10,16,27,5,30,15,21,27,19,12,20,17,219
LESÃO CORPORAL CULPOSA - OUTRAS,1,0,1,0,3,0,0,0,2,3,0,0,10
LATROCÍNIO,0,0,0,0,0,1,0,0,0,0,0,0,1
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,1,0,0,0,0,0,0,1
TOTAL DE ESTUPRO (4),1,1,1,0,3,1,2,1,0,0,2,1,13
TOTAL DE ROUBO - OUTROS (1),35,42,41,41,42,44,36,40,31,35,36,44,467
ROUBO DE VEÍCULO,4,14,11,10,8,11,8,11,7,7,9,12,112
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,1,0,3,1,1,0,2,0,1,1,1,0,11
FURTO - OUTROS,47,44,44,52,49,61,69,45,55,62,60,45,633
FURTO DE VEÍCULO,17,17,22,14,11,9,14,22,14,15,13,15,183
