Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),2,2,3,1,1,1,2,1,0,0,2,0,15.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),2,2,3,1,1,1,2,1,0,0,2,0,15.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,0,0,1,2,1,2,0,0,1,1,9.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,1,0,0,1,0,0,3,4,2,0,0,1,12.0
LESÃO CORPORAL DOLOSA,43,29,24,35,32,31,32,28,21,25,33,40,373.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,21,26,25,26,23,38,17,31,22,40,21,19,309.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,1,0,1,0,0,0,0,0,0,3,5.0
LATROCÍNIO,0,0,0,1,0,0,0,0,0,0,0,0,1.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,1,0,0,0,0,0,0,0,0,1.0
TOTAL DE ESTUPRO (4),3,2,0,2,3,7,5,3,3,0,0,2,30.0
TOTAL DE ROUBO - OUTROS (1),97,84,80,80,95,106,96,83,106,104,90,84,1105.0
ROUBO DE VEÍCULO,70,68,76,122,82,60,91,108,75,87,78,110,1027.0
ROUBO A BANCO,0,0,0,0,1,0,0,0,0,0,0,0,1.0
ROUBO DE CARGA,6,2,1,1,1,3,4,1,1,0,0,0,20.0
FURTO - OUTROS,119,95,104,95,97,90,96,101,89,80,92,97,1155.0
FURTO DE VEÍCULO,48,56,43,45,45,42,55,71,55,48,52,36,596.0
