Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,0,0,1,1,0,0,1,1,0,0,0,4.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,1,1,0,0,1,1,0,0,0,4.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,3,1,0,1,0,0,0,2,1,1,1,1,11.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,1,0,0,0,1.0
TENTATIVA DE HOMICÍDIO,0,0,2,1,1,0,0,0,1,0,0,1,6.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,25,27,48,37,15,13,20,41,28,25,23,31,333.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,36,39,36,42,36,26,34,33,24,33,28,24,391.0
LESÃO CORPORAL CULPOSA - OUTRAS,2,2,3,0,2,1,1,2,3,0,2,0,18.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),3,1,2,2,2,2,2,2,4,4,2,3,29.0
ESTUPRO DE VULNERÁVEL,0,0,0,0,0,0,0,0,0,1,1,1,3.0
TOTAL DE ROUBO - OUTROS (1),177,219,231,205,212,217,200,201,190,242,196,174,2464.0
ROUBO DE VEÍCULO,26,15,21,11,24,25,29,23,17,20,21,20,252.0
ROUBO A BANCO,0,0,0,0,0,0,0,1,0,0,0,0,1.0
ROUBO DE CARGA,2,4,2,6,1,3,2,1,2,2,3,7,35.0
FURTO - OUTROS,327,409,387,361,344,363,290,383,366,343,314,382,4269.0
FURTO DE VEÍCULO,65,56,55,39,78,59,73,59,68,63,57,40,712.0
