Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),6,4,5,8,13,4,5,7,5,2,6,4,69.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),6,4,5,9,17,4,5,7,6,2,6,4,75.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,3,0,2,0,1,3,1,3,1,0,0,3,17.0
HOMICÍDIO CULPOSO OUTROS,1,0,0,0,1,0,0,0,0,0,0,0,2.0
TENTATIVA DE HOMICÍDIO,5,1,8,9,9,4,4,5,8,7,8,5,73.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,69,86,68,59,39,57,53,58,52,54,57,60,712.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,26,17,29,13,29,19,18,24,24,30,19,28,276.0
LESÃO CORPORAL CULPOSA - OUTRAS,3,7,2,3,0,2,1,3,1,1,1,1,25.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,1,0,0,0,0,1.0
TOTAL DE ESTUPRO (4),1,0,1,0,1,1,1,1,1,0,2,0,9.0
TOTAL DE ROUBO - OUTROS (1),156,164,151,125,134,157,128,153,140,155,144,142,1.749
ROUBO DE VEÍCULO,45,28,41,34,35,43,24,49,38,31,38,28,434.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,8,8,4,7,11,6,4,10,3,9,8,7,85.0
FURTO - OUTROS,115,93,103,99,104,106,89,98,118,84,111,121,1.241
FURTO DE VEÍCULO,42,41,47,50,53,60,45,48,45,40,51,38,560.0
