Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,0,2,2,1,1,1,0,1,0,2,2,12.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,3,2,1,1,1,0,1,0,2,2,13.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,1,1,0,0,1,0,0,0,0,3.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,2,2,1,1,1,1,0,2,0,2,1,1,14.0
LESÃO CORPORAL DOLOSA,32,40,22,32,18,42,25,30,26,28,28,32,355.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,6,12,24,9,18,14,15,12,9,13,13,11,156.0
LESÃO CORPORAL CULPOSA - OUTRAS,3,1,0,3,2,2,0,1,0,0,0,1,13.0
LATROCÍNIO,0,0,0,1,1,0,0,0,1,0,0,0,3.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,1,1,0,0,0,1,0,0,0,3.0
TOTAL DE ESTUPRO (4),4,1,3,2,5,3,3,1,1,1,1,1,26.0
TOTAL DE ROUBO - OUTROS (1),101,133,117,126,134,107,98,108,113,130,126,116,1409.0
ROUBO DE VEÍCULO,89,62,71,53,58,45,35,36,28,49,48,50,624.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,12,5,4,5,3,6,4,0,1,1,5,2,48.0
FURTO - OUTROS,82,58,66,61,78,65,64,72,66,76,71,54,813.0
FURTO DE VEÍCULO,16,16,25,24,15,16,21,14,13,11,17,16,204.0
