Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),2,4,2,1,0,0,0,3,1,1,0,1,15
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),2,4,2,1,0,0,0,3,1,1,0,1,15
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,0,2,0,1,0,0,1,0,0,0,5
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,3,0,1,1,1,1,3,0,0,0,0,10
LESÃO CORPORAL DOLOSA,36,28,24,18,16,14,9,17,17,21,26,29,255
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,6,20,28,27,27,24,28,24,37,31,21,15,288
LESÃO CORPORAL CULPOSA - OUTRAS,2,3,0,0,0,0,1,1,1,0,0,2,10
LATROCÍNIO,0,0,0,0,0,0,1,0,0,0,0,0,1
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,1,0,0,0,0,0,1
TOTAL DE ESTUPRO (4),0,1,3,1,1,1,2,2,6,0,0,0,17
TOTAL DE ROUBO - OUTROS (1),77,50,75,79,59,63,77,89,77,69,69,68,852
ROUBO DE VEÍCULO,28,33,32,37,26,16,26,28,21,23,38,27,335
ROUBO A BANCO,0,0,0,1,0,0,0,0,0,0,0,0,1
ROUBO DE CARGA,5,2,5,2,1,3,4,0,1,3,5,5,36
FURTO - OUTROS,66,78,60,44,95,75,67,61,87,58,91,71,853
FURTO DE VEÍCULO,16,28,32,26,39,37,38,17,39,51,33,36,392
