Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,1,0,0,0,0,0,0,0,0,0,0,1.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,1,0,0,0,0,0,0,0,0,0,0,1.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,1,1,0,2,0,0,0,4.0
HOMICÍDIO CULPOSO OUTROS,0,0,1,0,1,1,0,0,1,0,0,0,4.0
TENTATIVA DE HOMICÍDIO,1,1,1,0,0,0,0,1,0,0,0,0,4.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,12,18,13,18,10,7,16,11,13,18,14,19,169.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,21,14,23,11,15,20,13,16,11,12,10,16,182.0
LESÃO CORPORAL CULPOSA - OUTRAS,1,3,4,0,2,1,0,0,0,1,0,1,13.0
LATROCÍNIO,0,0,0,0,0,0,0,0,1,0,0,0,1.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,1,0,0,0,1.0
TOTAL DE ESTUPRO (4),1,0,0,1,0,0,0,1,0,0,1,2,6.0
TOTAL DE ROUBO - OUTROS (1),96,99,107,96,114,122,115,101,104,136,87,94,1.271
ROUBO DE VEÍCULO,18,29,25,27,30,27,34,25,22,26,28,21,312.0
ROUBO A BANCO,3,1,0,1,0,0,1,0,1,2,1,0,10.0
ROUBO DE CARGA,0,0,0,0,0,0,1,2,0,0,0,0,3.0
FURTO - OUTROS,173,135,148,216,232,279,252,228,186,209,156,184,2.398
FURTO DE VEÍCULO,44,45,46,75,67,79,98,88,89,66,83,34,814.0
