Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),1,0,0,0,0,0,0,0,0,0,0,0,1.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,0,0,0,0,0,0,0,0,0,0,0,1.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,1,2,1,0,1,0,1,0,0,2,9.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,1,0,0,0,1,0,0,1,2,0,0,0,5.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,27,25,31,13,21,10,22,23,21,30,26,14,263.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,8,15,17,11,15,6,6,4,13,10,8,10,123.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,1,0,2,2,1,0,1,0,0,0,0,7.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),4,1,1,0,0,2,0,1,0,2,3,1,15.0
ESTUPRO,2,0,0,0,0,0,0,0,0,0,1,0,3.0
ESTUPRO DE VULNERÁVEL,2,1,1,0,0,2,0,1,0,2,2,1,12.0
TOTAL DE ROUBO - OUTROS (1),66,41,65,70,70,58,68,55,57,71,78,54,753.0
ROUBO - OUTROS,64,38,62,69,66,56,68,55,57,68,75,52,730.0
ROUBO DE VEÍCULO,8,7,6,11,12,7,6,6,4,9,6,6,88.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,2,3,3,1,4,2,0,0,0,3,3,2,23.0
FURTO - OUTROS,128,101,144,145,132,118,128,125,138,130,100,112,1.501
FURTO DE VEÍCULO,32,27,39,37,31,31,24,25,29,19,17,13,324.0
