Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),1,1,1,0,0,2,1,1,3,1,0,2,13.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),3,1,1,0,0,2,1,1,3,1,0,2,15.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,0,0,1,0,0,0,0,0,0,0,2.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,0,1,0,3,0,1,1,4,1,2,2,2,17.0
LESÃO CORPORAL DOLOSA,42,59,52,56,54,44,62,48,43,37,32,62,591.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,14,17,20,18,13,15,28,31,26,21,31,25,259.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,1,2,2,1,5,0,11.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),2,1,3,4,2,2,0,3,4,3,1,2,27.0
TOTAL DE ROUBO - OUTROS (1),151,146,135,168,183,162,125,146,153,173,139,149,1830.0
ROUBO DE VEÍCULO,125,145,134,95,108,70,58,60,90,99,103,109,1196.0
ROUBO A BANCO,1,0,1,0,0,0,0,0,1,0,0,0,3.0
ROUBO DE CARGA,5,4,5,8,0,5,3,2,1,4,2,3,42.0
FURTO - OUTROS,177,181,252,206,228,206,220,222,216,265,221,238,2632.0
FURTO DE VEÍCULO,46,37,62,65,61,50,60,64,66,78,54,25,668.0
