Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,0,1,1,0,0,0,1,0,2,1,2,8.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,1,1,0,0,0,2,0,2,1,2,9.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,2,2.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,2,2.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,1,1,1,1,1,0,2,7.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,1,0,0,0,1,2,1,0,1,0,2,1,9.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,44,29,40,35,28,28,29,32,32,37,45,41,420.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,14,16,11,17,16,19,13,20,24,19,19,14,202.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,1,1,1,1,1,0,0,0,2,0,7.0
LATROCÍNIO,0,1,0,0,0,0,0,1,0,0,0,0,2.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,1,0,0,0,0,0,1,0,0,0,0,2.0
TOTAL DE ESTUPRO (4),3,0,2,1,2,4,2,2,3,5,2,2,28.0
ESTUPRO,1,0,0,0,1,0,0,0,1,2,2,0,7.0
ESTUPRO DE VULNERÁVEL,2,0,2,1,1,4,2,2,2,3,0,2,21.0
TOTAL DE ROUBO - OUTROS (1),141,112,122,119,130,132,129,112,96,102,133,164,1.492
ROUBO - OUTROS,141,107,122,118,128,132,126,111,96,101,133,163,1.478
ROUBO DE VEÍCULO,18,17,23,18,18,25,19,14,20,16,19,24,231.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,0,5,0,1,2,0,3,1,0,1,0,1,14.0
FURTO - OUTROS,285,231,247,242,237,194,187,227,230,277,250,283,2.89
FURTO DE VEÍCULO,26,22,28,36,40,36,22,40,40,45,37,38,410.0
