Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),2,0,0,1,0,0,0,0,1,1,1,0,6.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),2,0,0,1,0,0,0,0,1,1,1,0,6.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,1,1,1,0,0,0,0,1,0,0,5.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,0,1,0,0,3,0,1,1,1,1,1,1,10.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,49,47,58,41,38,53,41,56,51,51,40,52,577.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,30,33,40,32,45,36,39,45,51,42,46,35,474.0
LESÃO CORPORAL CULPOSA - OUTRAS,8,1,1,1,1,1,0,2,0,0,2,1,18.0
LATROCÍNIO,0,0,1,0,0,0,0,0,0,0,0,0,1.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,1,0,0,0,0,0,0,0,0,0,1.0
TOTAL DE ESTUPRO (4),4,1,0,0,0,2,1,1,1,0,0,1,11.0
TOTAL DE ROUBO - OUTROS (1),69,76,94,88,106,88,79,82,63,74,79,55,953.0
ROUBO DE VEÍCULO,37,40,44,51,51,40,43,45,16,38,39,19,463.0
ROUBO A BANCO,0,0,0,0,1,0,0,0,0,0,0,0,1.0
ROUBO DE CARGA,1,1,0,0,0,0,2,0,1,0,0,0,5.0
FURTO - OUTROS,138,105,108,127,159,92,133,106,93,91,67,75,1.294
FURTO DE VEÍCULO,80,76,82,101,106,79,73,74,48,43,48,21,831.0
