Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,1,0,1,1,0,0,0,2,1,0,0,6.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,2,0,1,1,0,0,0,2,1,0,0,7.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,1,0,0,0,0,1,1,0,0,3.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,2,0,0,4,1,0,1,0,0,2,0,0,10.0
LESÃO CORPORAL DOLOSA,28,53,46,31,45,39,25,41,26,39,31,46,450.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,14,35,41,19,27,26,19,21,26,17,11,23,279.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,1,0,0,0,0,0,0,1,0,0,0,2.0
LATROCÍNIO,0,0,0,1,0,0,0,1,0,0,0,0,2.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,1,0,0,0,1,0,0,0,0,2.0
TOTAL DE ESTUPRO (4),1,5,4,5,3,4,3,1,3,5,1,2,37.0
TOTAL DE ROUBO - OUTROS (1),44,69,75,59,78,87,62,73,71,59,61,70,808.0
ROUBO DE VEÍCULO,20,49,39,18,22,30,15,46,37,28,32,32,368.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,1,0,0,0,1.0
ROUBO DE CARGA,1,0,0,0,3,4,2,2,3,1,0,2,18.0
FURTO - OUTROS,111,155,188,141,123,108,138,153,145,157,117,153,1.689
FURTO DE VEÍCULO,73,117,101,79,50,45,40,108,104,80,39,86,922.0
