Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,0,0,0,0,0,0,0,2,2.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,0,0,0,0,0,0,0,2,2.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,1,0,0,0,0,0,0,0,1.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,1,1,0,1,0,3,1,1,1,1,0,0,10.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,20,26,21,25,17,18,13,10,22,33,16,24,245.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,5,9,7,16,13,7,8,4,6,6,7,4,92.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,1,0,0,2,0,1,0,0,0,0,4.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),2,1,3,1,0,2,3,2,3,5,1,6,29.0
ESTUPRO,1,1,2,0,0,0,0,0,1,2,1,2,10.0
ESTUPRO DE VULNERÁVEL,1,0,1,1,0,2,3,2,2,3,0,4,19.0
TOTAL DE ROUBO - OUTROS (1),105,81,106,78,82,91,91,108,104,88,124,106,1.164
ROUBO - OUTROS,103,81,105,78,82,91,91,107,104,88,124,105,1.159
ROUBO DE VEÍCULO,27,23,24,26,25,26,23,24,15,29,33,32,307.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,2,0,1,0,0,0,0,1,0,0,0,1,5.0
FURTO - OUTROS,87,66,78,92,99,71,89,65,78,73,87,76,961.0
FURTO DE VEÍCULO,7,16,12,13,12,10,7,17,9,12,17,14,146.0
