Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),1,0,0,0,0,1,0,1,0,0,0,0,3
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,0,0,0,0,1,0,1,0,0,0,0,3
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,1,0,0,0,0,0,0,1
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,1,0,0,0,0,0,0,1
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,1,0,0,0,1,0,1,3
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,0,1,0,0,1,0,1,0,0,1,0,4
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,1,0,0,0,0,0,0,0,0,0,1
LESÃO CORPORAL DOLOSA,21,35,35,17,20,25,18,28,31,22,22,35,309
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,12,6,9,6,3,4,6,9,6,9,7,14,91
LESÃO CORPORAL CULPOSA - OUTRAS,1,0,0,1,0,0,0,0,0,1,0,0,3
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),1,1,5,2,2,3,1,1,1,2,1,0,20
ESTUPRO,0,1,0,1,1,0,1,0,1,1,0,0,6
ESTUPRO DE VULNERÁVEL,1,0,5,1,1,3,0,1,0,1,1,0,14
TOTAL DE ROUBO - OUTROS (1),42,32,40,48,61,45,47,47,70,58,45,45,580
ROUBO - OUTROS,41,32,39,48,61,45,47,47,70,58,45,44,577
ROUBO DE VEÍCULO,4,2,8,6,7,3,3,8,5,7,5,7,65
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,1,0,1,0,0,0,0,0,0,0,0,1,3
FURTO - OUTROS,110,74,69,85,83,83,68,66,68,93,69,80,948
FURTO DE VEÍCULO,9,9,13,15,13,18,14,10,12,11,12,16,152
