Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,1,0,0,1,0,1,0,2,1,0,1,7.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,1,0,0,1,0,1,0,2,1,0,1,7.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,1,0,0,1,0,0,0,2,0,0,0,5.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,2,0,0,0,0,0,0,0,2.0
TENTATIVA DE HOMICÍDIO,2,0,1,0,0,0,0,0,0,0,1,1,5.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,11,20,23,20,19,10,23,10,23,16,22,11,208.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,16,11,11,17,7,12,4,20,14,11,13,14,150.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,1,0,4,2,1,1,1,0,0,0,1,11.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),1,0,1,0,0,0,0,1,0,0,1,1,5.0
TOTAL DE ROUBO - OUTROS (1),128,166,158,119,120,126,142,118,108,113,137,117,1552.0
ROUBO DE VEÍCULO,72,56,67,67,54,81,59,52,46,44,40,42,680.0
ROUBO A BANCO,0,0,0,0,1,0,0,0,1,1,0,1,4.0
ROUBO DE CARGA,6,3,4,0,1,3,1,0,1,0,1,0,20.0
FURTO - OUTROS,58,53,55,61,78,62,71,55,62,68,63,73,759.0
FURTO DE VEÍCULO,9,11,15,17,25,29,12,16,15,17,11,19,196.0
