Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),4,7,3,4,6,4,4,4,5,1,4,4,50
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),6,7,9,6,5,4,4,4,6,1,4,4,60
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,0,0,0,0,0,0,0,1,0,0,2
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,13,2,11,4,6,5,5,2,4,3,4,1,60
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,22,10,21,22,18,13,14,27,20,29,14,19,229
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,2,2,5,7,3,4,5,4,8,8,9,7,64
LESÃO CORPORAL CULPOSA - OUTRAS,1,0,0,0,1,2,0,1,0,0,0,1,6
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),0,2,1,1,0,0,0,0,1,0,0,3,8
TOTAL DE ROUBO - OUTROS (1),74,69,85,95,86,66,62,67,63,70,80,47,864
ROUBO DE VEÍCULO,42,42,44,59,70,38,29,24,43,47,31,37,506
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,1,3,2,4,1,4,1,2,0,1,3,3,25
FURTO - OUTROS,51,40,37,32,29,49,43,59,36,38,41,38,493
FURTO DE VEÍCULO,15,16,16,15,19,5,12,17,23,25,14,9,186
