Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),1,0,1,0,0,1,0,0,0,0,0,0,3.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,0,1,0,0,1,0,0,0,0,0,0,3.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,2,0,1,0,0,0,0,0,3.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,2,1,0,1,2,1,1,1,0,0,0,0,9.0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LESÃO CORPORAL DOLOSA,18,24,34,16,15,13,10,21,21,12,21,6,211.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,6,8,7,9,11,7,8,7,8,8,7,5,91.0
LESÃO CORPORAL CULPOSA - OUTRAS,0,1,0,0,0,0,0,1,0,0,0,2,4.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),3,1,5,1,0,1,2,2,0,4,3,1,23.0
ESTUPRO,2,0,0,0,0,0,0,0,0,1,1,0,4.0
ESTUPRO DE VULNERÁVEL,1,1,5,1,0,1,2,2,0,3,2,1,19.0
TOTAL DE ROUBO - OUTROS (1),102,76,119,95,141,146,113,153,110,120,111,143,1429.0
ROUBO - OUTROS,101,74,114,95,141,145,112,153,110,120,111,143,1419.0
ROUBO DE VEÍCULO,6,17,18,27,34,36,26,29,15,13,17,19,257.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,1,2,5,0,0,1,1,0,0,0,0,0,10.0
FURTO - OUTROS,110,90,90,113,123,129,118,133,95,99,90,91,1281.0
FURTO DE VEÍCULO,5,8,10,11,12,17,16,15,11,19,18,16,158.0
