Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),5,6,4,2,5,2,5,2,2,3,3,1,40
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),5,7,4,2,5,2,7,2,2,3,3,1,43
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,2,0,0,1,1,0,0,0,1,0,0,2,7
HOMICÍDIO CULPOSO OUTROS,0,1,0,1,0,1,0,0,0,0,0,0,3
TENTATIVA DE HOMICÍDIO,5,5,8,1,5,5,5,2,4,0,1,3,44
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,10,12,14,10,3,8,12,16,10,12,23,16,146
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,13,14,18,10,16,8,15,12,16,13,17,21,173
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,0,0,1,2,1,1,5
LATROCÍNIO,0,0,0,1,0,0,0,1,0,0,1,1,4
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,1,0,0,0,1,0,0,1,1,4
TOTAL DE ESTUPRO (4),0,2,1,0,0,1,0,1,1,1,2,3,12
TOTAL DE ROUBO - OUTROS (1),55,73,72,59,74,91,52,101,80,87,56,84,884
ROUBO DE VEÍCULO,29,41,31,23,27,20,32,40,45,26,26,31,371
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,1,2,0,0,0,0,2,1,3,1,0,5,15
FURTO - OUTROS,28,35,35,33,40,34,28,47,41,28,33,42,424
FURTO DE VEÍCULO,15,13,10,9,20,10,17,12,9,10,7,11,143
