Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),1,0,1,0,1,0,2,0,2,2,0,0,9.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,0,1,0,1,0,2,0,2,2,0,0,9.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,0,0,0,0,1,0,1,0,0,0,3.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,2,2,0,2,0,0,0,1,0,2,2,0,11.0
LESÃO CORPORAL DOLOSA,24,32,50,47,48,50,36,33,40,44,60,25,489.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,26,43,44,43,42,38,24,43,37,38,43,36,457.0
LESÃO CORPORAL CULPOSA - OUTRAS,2,2,3,0,3,0,0,2,1,2,3,3,21.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,1,1.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,1,1.0
TOTAL DE ESTUPRO (4),1,2,2,1,1,3,0,1,0,2,2,0,15.0
TOTAL DE ROUBO - OUTROS (1),112,94,111,104,117,99,175,131,129,152,112,113,1449.0
ROUBO DE VEÍCULO,40,41,48,55,46,41,40,52,46,53,34,37,533.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,5,8,6,4,0,3,3,0,0,6,1,5,41.0
FURTO - OUTROS,221,218,232,209,292,214,240,223,232,347,264,220,2912.0
FURTO DE VEÍCULO,112,127,116,125,88,82,122,112,80,101,93,48,1206.0
