Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,1,0,1,0,0,0,0,0,0,2
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,1,1,0,0,0,0,0,0,0,0,0,0,2
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,4,4,4,0,1,2,1,2,1,0,2,1,22
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,5,4,6,4,4,3,5,6,7,1,3,5,53
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,13,8,5,8,0,6,6,3,8,11,68
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),0,0,1,1,0,0,0,0,1,1,2,0,6
ESTUPRO,0,0,0,1,0,0,0,0,0,0,1,0,2
ESTUPRO DE VULNERÁVEL,0,0,1,0,0,0,0,0,1,1,1,0,4
TOTAL DE ROUBO - OUTROS (1),15,21,27,17,23,17,24,25,14,16,34,24,257
ROUBO - OUTROS,14,17,26,17,23,16,24,25,11,15,34,23,245
ROUBO DE VEÍCULO,3,6,3,2,6,4,5,2,3,2,4,3,43
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,1,4,1,0,0,1,0,0,3,1,0,1,12
FURTO - OUTROS,49,35,63,57,78,61,47,75,72,90,88,50,765
FURTO DE VEÍCULO,11,12,28,13,16,16,7,8,8,7,8,8,142
