Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,3,1,0,1,2,1,0,1,2,2,1,14
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,3,1,0,1,2,1,0,1,2,2,1,14
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,2,0,0,1,0,2,1,0,6
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,1,0,2,3,2,0,1,0,0,0,0,0,9
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,19,33,20,20,20,17,25,30,15,10,10,15,234
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,13,25,16,18,17,16,13,24,15,19,13,6,195
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,0,0,0,0,0,14,14
LATROCÍNIO,0,0,0,0,0,0,1,0,0,0,0,0,1
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,1,0,0,0,0,0,1
TOTAL DE ESTUPRO (4),0,1,0,0,0,0,0,0,1,2,1,2,7
TOTAL DE ROUBO - OUTROS (1),49,35,58,62,54,67,46,35,40,49,52,46,593
ROUBO DE VEÍCULO,56,52,43,41,29,3,2,8,0,11,19,28,292
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,0,0,3,4,3,2,0,3,0,3,6,8,32
FURTO - OUTROS,47,57,55,60,49,53,57,61,43,32,32,27,573
FURTO DE VEÍCULO,11,11,20,12,16,5,4,9,2,15,9,7,121
