Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,1,1,0,0,1,1,0,1,5.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,1,1,0,0,1,1,0,1,5.0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,2,0,1,1,0,0,1,1,1,7.0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TENTATIVA DE HOMICÍDIO,0,0,1,1,0,2,3,2,2,0,1,0,12.0
LESÃO CORPORAL DOLOSA,20,22,13,16,19,18,13,20,16,23,25,21,226.0
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,13,25,33,28,27,14,19,16,25,22,25,23,270.0
LESÃO CORPORAL CULPOSA - OUTRAS,2,1,0,2,1,0,0,2,0,1,0,0,9.0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL DE ESTUPRO (4),3,2,0,0,0,1,0,0,0,0,0,1,7.0
TOTAL DE ROUBO - OUTROS (1),42,40,58,60,74,62,61,57,61,63,78,63,719.0
ROUBO DE VEÍCULO,27,42,38,34,35,40,33,29,24,26,32,36,396.0
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ROUBO DE CARGA,3,5,3,4,2,1,3,2,0,5,2,1,31.0
FURTO - OUTROS,109,69,104,90,79,78,93,120,89,91,103,123,1148.0
FURTO DE VEÍCULO,43,55,54,44,37,45,39,52,68,43,59,25,564.0
